"name_govt","alpha_3","energy_ad","poverty_rate","Exports_percap","Imports_percap","pc_n_tourists","reg_strength","score_govt","score_need","score_marketability"
"Anguilla","AIA",NA,0.284552845528455,NA,NA,0.167952676725522,NA,NA,NA,NA
"Antigua and Barbuda","ATG",1,0.184959349593496,0.00424468922426076,0.508232217437369,0.0895397344534549,1,1,0.592479674796748,0.200672213705028
"Aruba","ABW",NA,NA,0.000624011874317809,0.65922675056117,0.352945363026917,0,0,NA,0.337598708487468
"Bahamas","BHS",0.730769230769231,0,0.00163258095903123,0.31600566837251,0.128248952689335,0,0,0.365384615384615,0.148629067340292
"Barbados","BRB",0.5,0.203252032520325,0.0058161006001571,0.698958921357035,0.0617561670960355,NA,NA,0.351626016260163,0.255510396351076
"Bermuda","BMU",0.75,0.0345528455284553,0.000166827867668247,1,0.0774745850651462,0.333333333333333,0.333333333333333,0.392276422764228,0.359213804310938
"Bonaire","BON",NA,NA,NA,NA,0.237580122515158,0.5,0.5,NA,NA
"Sint Eustatius and Saba","ESS",NA,NA,NA,NA,0.232586327995457,0.166666666666667,0.166666666666667,NA,NA
"Cayman Islands","CYM",NA,NA,0.000871433099417734,0.200191209261082,0.208923342474224,0.166666666666667,0.166666666666667,NA,0.136661994944908
"Cuba","CUB",0,NA,0.000196935142457926,0.0435522005324634,0.00774730230498125,0,0,NA,0.0171654793266342
"Curaçao","CUW",NA,NA,1,0.304290224107371,0.0955231289950162,0.333333333333333,0.333333333333333,NA,0.466604451034129
"Dominica","DMA",0.480769230769231,0.400406504065041,0.000809603059086695,0.401141374541403,0.0382342527227705,0.333333333333333,0.333333333333333,0.440587867417136,0.146728410107753
"Dominican Republic","DOM",0.634615384615385,0.430894308943089,0.00223594119881114,0.116870891527665,0.0155594238754104,0.166666666666667,0.166666666666667,0.532754846779237,0.0448887522006288
"Grenada","GRD",0.903846153846154,0.583333333333333,0.0711414263568209,0.176436377720843,0.0404747901693949,0.416666666666667,0.416666666666667,0.743589743589744,0.0960175314156862
"Guadeloupe","GLP",NA,NA,0,0,0.0409571882644723,0.666666666666667,0.666666666666667,NA,0.0136523960881574
"Haiti","HTI",0.980769230769231,1,0.00014104996773039,0.0607445508160406,0,0,0,0.990384615384615,0.020295200261257
"Jamaica","JAM",0.653846153846154,0.158536585365854,0.0008121957127192,0.322035389122206,0.0233326994948237,NA,NA,0.406191369606004,0.115393428109916
"Martinique","MTQ",NA,NA,0,0,0.0438593641351869,0.5,0.5,NA,0.0146197880450623
"Montserrat","MSR",NA,NA,NA,0.431788143799779,0.0600279486839136,0.25,0.25,NA,NA
"Puerto Rico","PRI",NA,NA,NA,0,0.0171234094492036,0.666666666666667,0.666666666666667,NA,NA
"Saint Barthélemy","BLM",NA,NA,NA,NA,1,0.5,0.5,NA,NA
"Saint Kitts and Nevis","KNA",0.865384615384615,0.254065040650406,0.000404306259561458,0.364608120657096,0.068626511506357,NA,NA,0.559724828017511,0.144546312807672
"Saint Lucia","LCA",0.826923076923077,0.396341463414634,2.9066352571808e-05,0.301824071608527,0.0636152312817932,0.25,0.25,0.611632270168855,0.121822789747631
"Saint Martin","MAF",NA,NA,NA,NA,0.189865163963273,0.5,0.5,NA,NA
"Saint Vincent and the Grenadines","VCT",0.5,0.42479674796748,0.00193948997009013,0.13553444932584,0.0209499890290898,1,1,0.46239837398374,0.0528079761083398
"Sint Maarten","SXM",NA,NA,NA,NA,0.419153571586235,0.333333333333333,0.333333333333333,NA,NA
"Trinidad and Tobago","TTO",0.346153846153846,0.217479674796748,0.0266592958437052,0.291085576481853,0.00890834226881348,0,0,0.281816760475297,0.108884404864791
"Turks and Caicos Islands","TCA",NA,NA,0.00566887204720706,0.93559233765427,0.344055024601783,NA,NA,NA,0.428438744767753
"Virgin Islands, British","VGB",NA,0.398373983739837,NA,NA,0.453140545653642,NA,NA,NA,NA
"Virgin Islands, U.S.","VIR",NA,NA,NA,NA,0.24137343915222,0.5,0.5,NA,NA
