"alpha_3","score_govt","score_need","score_marketability"
"AIA",NA,NA,NA
"ATG",0.5,0.5,0.5
"ABW",0.5,NA,0.5
"BHS",NA,0.5,0.5
"BRB",NA,0.5,0.5
"BMU",NA,0.5,0.5
"BES",NA,NA,NA
"BES",NA,NA,NA
"BES",NA,NA,NA
"BESB",0.5,NA,NA
"BESE",0.5,NA,NA
"BESS",0.5,NA,NA
"CYM",NA,NA,0.5
"CUB",0.5,NA,0.5
"CUW",NA,NA,0.5
"DMA",NA,0.5,0.5
"DOM",NA,0.5,0.5
"GRD",0.5,0.5,0.5
"GLP",0.5,NA,0.5
"HTI",0.5,0.5,0.5
"JAM",NA,0.5,0.5
"MTQ",0.5,NA,0.5
"MSR",0.5,NA,NA
"PRI",0.5,NA,NA
"BLM",0.5,NA,NA
"KNA",NA,0.5,0.5
"LCA",0.5,0.5,0.5
"MAF",0.5,NA,NA
"VCT",0.5,0.5,0.5
"SXM",NA,NA,NA
"TTO",0.5,0.5,0.5
"TCA",NA,NA,0.5
"VGB",NA,NA,NA
"VIR",0.5,NA,NA
