"name_govt","alpha_3","energy_ad","poverty_rate","Exports_percap","Imports_percap","pc_n_tourists","reg_strength","wgi_corrupt","wgi_goveff","wgi_polstab","wgi_regqual","wgi_rulelaw","wgi_account","wgi_mean","n_fads","n_private","n_public","vessels_fad","vessels_tot","fads_per_totvessel","fads_per_fadvessel"
"Anguilla","AIA",NA,23.3,NA,NA,4864.23280907096,NA,1.238614,0.8301269,1.297391,0.8194681,-0.0986837,NA,0.81738326,NA,NA,NA,NA,NA,NA,NA
"Antigua and Barbuda","ATG",95,18.4,0.538011941070225,14.7149759466739,2613.01919025709,1,0.2766346,-0.0060096,0.7261432,0.411548,0.3933258,0.618535,0.403362833333333,22,20,2,30,332,0.0662650602409639,0.733333333333333
"Aruba","ABW",NA,NA,0.0790931495841282,19.0867588576418,10175.3210390942,0,1.252027,1.058392,1.366119,0.853144,1.297575,1.305925,1.18886366666667,0,0,0,0,NA,NA,NA
"Bahamas","BHS",109,9.3,0.20692870651223,9.14939204869897,3724.35000811999,0,1.131102,0.5391499,0.8721167,0.1511079,0.0969947,0.7956346,0.5976843,0,0,0,0,4000,0,NA
"Barbados","BRB",121,19.3,0.737187437767056,20.2371344487806,1815.3607501843,NA,1.411373,0.4269727,0.9214329,0.5401858,0.3949094,1.12459,0.803243966666667,0,0,0,0,NA,NA,NA
"Bermuda","BMU",108,11,0.0211453371888331,28.9532529458098,2266.63212928259,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA
"Bonaire","BON",NA,NA,NA,NA,6863.21728361084,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sint Eustatius and Saba","ESS",NA,NA,NA,NA,6719.84684109764,0.166666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cayman Islands","CYM",NA,NA,0.110453648915187,5.79618671926364,6040.48915187377,0.166666666666667,0.4963436,1.204366,1.149285,0.9785166,0.7744462,0.4919728,0.849155033333333,3,3,0,15,NA,NA,0.2
"Cuba","CUB",147,NA,0.0249614171169816,1.26097787836304,264.781363270883,0,0.1654153,-0.2448378,0.6523342,-1.455965,-0.4443496,-1.444819,-0.462036983333333,0,0,0,0,NA,NA,NA
"Curaçao","CUW",NA,NA,126.749430322292,8.81019182751785,2784.8007723327,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,24,0,24,NA,238,0.100840336134454,NA
"Dominica","DMA",122,29,0.102616726526424,11.6143476841271,1140.05317412193,0.333333333333333,0.5457337,-0.2895034,1.107935,0.0820731,0.6176011,0.8105155,0.479059166666667,40,37,3,275,325,0.123076923076923,0.145454545454545
"Dominican Republic","DOM",114,30.5,0.283404273183456,3.38379248440278,489.065186343858,0.166666666666667,-0.74949,-0.4002573,0.0347933,-0.0771244,-0.3962312,0.1374327,-0.241812816666667,2500,NA,NA,NA,3750,0.666666666666667,NA
"Grenada","GRD",100,38,9.01713526304237,5.108407072994,1204.37837691565,0.416666666666667,NA,NA,NA,NA,NA,NA,NA,8,3,5,40,80,0.1,0.2
"Guadeloupe","GLP",NA,NA,0,0,1218.22789116497,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,608,600,8,210,520,1.16923076923077,2.8952380952381
"Haiti","HTI",96,58.5,0.0178780030568046,1.75875234485642,42.3584831610155,0,-1.265189,-1.909054,-0.6268144,-1.224258,-1.028031,-0.7454833,-1.13313828333333,18,NA,NA,NA,10700,0.00168224299065421,NA
"Jamaica","JAM",113,17.1,0.102945343897367,9.32397207875752,712.233753039142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique","MTQ",NA,NA,0,0,1301.54854787081,0.5,1.238614,1.108839,0.9858225,1.187921,0.8764146,NA,1.07952222,30,20,10,223,576,0.0520833333333333,0.134529147982063
"Montserrat","MSR",NA,NA,NA,12.5016713464367,1765.74408343361,0.25,NA,NA,NA,NA,NA,NA,NA,3,0,3,NA,27,0.111111111111111,NA
"Puerto Rico","PRI",NA,NA,0.250875570343528,12.7670363050721,533.966774287537,0.666666666666667,0.0401706,-0.156924,0.4000113,0.9279462,0.5868457,0.4919728,0.381670433333333,1,0,1,158,NA,NA,0.00632911392405063
