"Country","Commodity","Flow","Unit","Year","Quantity","fad_fished","flow_binary","alpha_3"
"Antigua and Barbuda","Alaska pollock fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Alaska pollock, meat, whether or not minced, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes",2014,0,1,0,"ATG"
"Antigua and Barbuda","Anchovies, prepared or preserved, not minced","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Anchovies, prepared or preserved, not minced","Imports","Tonnes",2014,5,0,1,"ATG"
"Antigua and Barbuda","Anchovies, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Argentinian hake fillets, frozen","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes",2014,NA,1,NA,"ATG"
"Antigua and Barbuda","Atlantic cod, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Atlantic herring, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cape hake fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Caviar and caviar substitutes","Imports","Tonnes",2014,2,0,1,"ATG"
"Antigua and Barbuda","Cod nei fillets, dried, salted or in brine","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cod nei, fillets, frozen","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cod, salted and dried (klipfish)","Imports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods nei, dried,  whether or not salted","Exports","Tonnes",2014,NA,0,NA,"ATG"
"Antigua and Barbuda","Cods nei, dried,  whether or not salted","Imports","Tonnes",2014,24,0,1,"ATG"
"Antigua and Barbuda","Cods nei, dried,  whether or not salted","Reexports","Tonnes",2014,NA,0,NA,"ATG"
