name,alpha_3,n_fads,n_public,n_private,perc_private,vessels_fad,vessels_tot,perc_fad_vessels,year,source,source_type,
Anguilla,AIA,,,,NA,,,NA,,,,
Antigua and Barbuda,ATG,22,2,20,91%,30,332,9%,2019,Horseford PC 2019,survey,
Aruba,ABW,0,0,0,NA,0,,0%,2019,Boekhoudt PC 2019,survey,
Bahamas,BHS,0,0,0,NA,0,4000,0%,2020,"Deleveaux PC 2020, FAO 2016",survey,
Barbados,BRB,0,0,0,NA,0,,0%,2018,Valles PC 2018,informal interview,
Bermuda,BMU,0,0,0,NA,0,,0%,2020,Pitt PC 2019,survey,
Bonaire,BES,6,6,0,0%,,,NA,2019,de Vries PC 2019,survey,vessel numbers to be confirmed
Sint Eustatius,BES,5,3,2,40%,4,20,20%,2019,Boman PC 2019,survey,
Saba,BES,12,0,12,100%,18,10,180%,2019,de Vries PC 2021,survey,vessel numbers to be confirmed
Cayman Islands,CYM,3,0,3,100%,15,NA,NA,2019,Johnson PC 2020,survey,
Cuba,CUB,0,0,0,NA,0,,0%,2019,Puga PC 2019,survey,
Curaçao,CUW,24,20,0,0%,NA,238,NA,2019,Bart PC 2019; Frame survey,survey,*vessel number from 2016 survey
Dominica,DMA,40,3,37,93%,275,325,85%,2019,Theophile PC 2019,survey,
Dominican Republic,DOM,2500,NA,NA,NA,,3750,NA,2018,Gentner et al. 2019,gray literature,
Grenada,GRD,8,5,3,38%,40,80,50%,2019,Calliste PC 2019,survey,
Guadeloupe,GLP,608,8,600,99%,210,520,40%,2019,Guyader PC 2019,survey,
Haiti,HTI,18,NA,NA,NA,,10700,NA,2018,Valles PC 2019,survey,
Jamaica,JAM,,,,NA,,,,,,,
Martinique,MTQ,30,10,20,67%,223,576,39%,2019,Marot PC 2019,survey,check numbers
Montserrat,MSR,3,3,0,0%,NA,27,NA,2019,Ponteen PC 2019,survey,
Puerto Rico,PRI,1,1,0,0%,158,NA,NA,2019,Merten PC 2019,survey,
Saint Barthélemy,BLM,100,0,100,100%,22,33,67%,2019,Greaux PC 2019,survey,
Saint Kitts and Nevis,KNA,22,4,18,82%,NA,160,NA,2013,CRFM 2013; FAO,gray literature,
Saint Lucia,LCA,7,7,0,0%,40,690,6%,2019,Polius PC 2019; FAO,survey,
Saint Martin,MAF,,,,NA,,,NA,,,,
Saint Vincent and the Grenadines,VCT,8,8,0,0%,40,650,6%,2019,Cruickshank-Howard PC 2019,survey,
Sint Maarten,SXM,2,0,2,100%,20,50,40%,2019,Meijer zu Schlochtern PC 2019,survey,
Trinidad and Tobago,TTO,100,0,100,100%,450,650,69%,2019,Ottley PC 2019,survey,
Turks and Caicos Islands,TCA,,,,NA,,,NA,,,,
"Virgin Islands, British",VGB,,,,NA,,,NA,,,,
"Virgin Islands, U.S.",VIR,4,4,0,0%,20,120,17%,2019,Sabine PC 2019,survey,
,,,,,,,,,,,,
,,3523,84,917,,,,,,,,
,,,,0.260289526,,,,,,,,
