Country,Coder,Reference,Event,Event notes,Event year,Subregion,FAD ownership,N total FADs,N public FADs,N private FADs,FAD density,N FAD fishers,N FAD vessels,N FADs/fisher,Prevalence,Longevity,Deployment depth,Distance from shore,Deployment distribution,Landings,Landings unit,Revenue,Catch species composition,Catch size composition,Construction materials,Construction costs,Operation costs,Funding,Managment,Legislation,Average age of fishers,Dominant etnia among fishers,Mean years of fishing experience,Mean years of offshore fishing activity
Anguilla,MW,CRFM 2015,Introduction,late 1960s-early 1970s; moored bamboo rafts,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla,MW,J. LaPlace (pers. com.) 2018,Active,,2018,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,Looby 2007 (WECAFC report),Introduction,1990s,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,JL,Looby (WECAF Report 2002),Active,,2002,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,Looby 2007 (WECAFC report),Adoption,,2002,,,,,,,,,,,,800-1000m,15-60nm,,,,,,,,,,,,,,,,
Antigua & Barbuda,MW,CRFM 2015,Legislation,,2013,,,,,,,,,,,,,,,,,,,,,,,,,"Legislation regarding marking, deploying, and disposing of FADs; must be authorized by fisheries division",,,,
Antigua & Barbuda,MW,CRFM 2015,Active,,2013,,Public,3,3,,,,,,,,,,,,,,,,,,,JICA,,,,,,
Antigua & Barbuda,MW,CRFM 2015,Active,,2013,,Mixed,,,,,26,,,,,,,,,,,,,,,,,,,,,,
Antigua & Barbuda,IR,"SeaGrant, JICA, and UF 2017",,,2017,,,,,,,,,,,,,,,,,,,,,,,Partnership between goverment and JICA,,,42,Black,18.03,7
Antigua & Barbuda,MW,N. Psihoyos (pers. com.) 2018,Active,,2018,,,20,2,18,,,,,,,,,,,,,,,,,,,,,,,,
Aruba,MW,van But 2007 (WECAFC report),Introduction,,2002,,,,,,,,,,,,,,,,,,,,Constructed metal buoys with poles,,,,,,,,,
Bahamas,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,MW,CRFM 2015,Introduction,late 1960s-early 1970s; moored bamboo rafts,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,MW,Marshall 2007 (WECAFC report),Introduction,Lost after several months apparently due to cutting,1989,,Public,1,1,,,,,,,3 months,540m,5nm,,,,,,,"3 upright plastic drums and central bamboo, radar deflector",,,,,,,,,
Barbados,JL,"Pers. Comm., Henri Valles, GCFI Conference",Active,Only drifting FADs in Barbados,2018,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,MW,CRFM 2015,Introduction,late 1960s-early 1970s; moored bamboo rafts,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,MW,van But 2007 (WECAFC report),Introduction,,2002,,,,,,,,,,,,,,,,,,,,Constructed metal buoys with poles,,,,,,,,,
Bonaire,MW,Y. de Vries (pers. comm.) 2018,,,2018,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonaire,MW,Y. de Vries (pers. comm.) 2018,Introduction,"About to set 6 as of 2019, will be managed by fishers",2019,,Public,6,6,,,,,,,,,,,,,,,,,,,,,,,,,
BVIs,MW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
