Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Anguilla,AIA,Control of Corruption: Estimate,CC.EST,1.238614
Anguilla,AIA,Government Effectiveness: Estimate,GE.EST,0.8301269
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.297391
Anguilla,AIA,Regulatory Quality: Estimate,RQ.EST,0.8194681
Anguilla,AIA,Rule of Law: Estimate,RL.EST,-0.0986837
Anguilla,AIA,Voice and Accountability: Estimate,VA.EST,..
Aruba,ABW,Control of Corruption: Estimate,CC.EST,1.252027
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,1.058392
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.366119
Aruba,ABW,Regulatory Quality: Estimate,RQ.EST,0.853144
Aruba,ABW,Rule of Law: Estimate,RL.EST,1.297575
Aruba,ABW,Voice and Accountability: Estimate,VA.EST,1.305925
"Bahamas, The",BHS,Control of Corruption: Estimate,CC.EST,1.131102
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.5391499
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.8721167
"Bahamas, The",BHS,Regulatory Quality: Estimate,RQ.EST,0.1511079
"Bahamas, The",BHS,Rule of Law: Estimate,RL.EST,0.0969947
"Bahamas, The",BHS,Voice and Accountability: Estimate,VA.EST,0.7956346
Antigua and Barbuda,ATG,Control of Corruption: Estimate,CC.EST,0.2766346
Antigua and Barbuda,ATG,Government Effectiveness: Estimate,GE.EST,-0.0060096
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7261432
Antigua and Barbuda,ATG,Regulatory Quality: Estimate,RQ.EST,0.411548
Antigua and Barbuda,ATG,Rule of Law: Estimate,RL.EST,0.3933258
Antigua and Barbuda,ATG,Voice and Accountability: Estimate,VA.EST,0.618535
Barbados,BRB,Control of Corruption: Estimate,CC.EST,1.411373
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,0.4269727
Barbados,BRB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.9214329
Barbados,BRB,Regulatory Quality: Estimate,RQ.EST,0.5401858
Barbados,BRB,Rule of Law: Estimate,RL.EST,0.3949094
Barbados,BRB,Voice and Accountability: Estimate,VA.EST,1.12459
Cayman Islands,CYM,Control of Corruption: Estimate,CC.EST,0.4963436
Cayman Islands,CYM,Government Effectiveness: Estimate,GE.EST,1.204366
Cayman Islands,CYM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.149285
Cayman Islands,CYM,Regulatory Quality: Estimate,RQ.EST,0.9785166
