Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2762,Demersal Fish,2012,2012,kcal/capita/day,10,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2762,Demersal Fish,2013,2013,kcal/capita/day,10,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,2.02,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,1.99,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2012,2012,g/capita/day,0.18,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2762,Demersal Fish,2013,2013,g/capita/day,0.18,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2012,2012,kcal/capita/day,23,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2763,Pelagic Fish,2013,2013,kcal/capita/day,22,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,2.75,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,2.72,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2012,2012,g/capita/day,1.15,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2763,Pelagic Fish,2013,2013,g/capita/day,1.14,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2012,2012,kcal/capita/day,33,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2764,"Marine Fish, Other",2013,2013,kcal/capita/day,33,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,5.83,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,5.76,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2012,2012,g/capita/day,0.87,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2764,"Marine Fish, Other",2013,2013,g/capita/day,0.86,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2765,Crustaceans,2012,2012,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2765,Crustaceans,2013,2013,kcal/capita/day,7,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,1.46,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,1.44,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2012,2012,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,684,Fat supply quantity (g/capita/day),2765,Crustaceans,2013,2013,g/capita/day,0.07,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2766,Cephalopods,2012,2012,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,664,Food supply (kcal/capita/day),2766,Cephalopods,2013,2013,kcal/capita/day,1,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2012,2012,g/capita/day,0.13,Fc,Calculated data
FBS,Food Balance Sheets,8,Antigua and Barbuda,674,Protein supply quantity (g/capita/day),2766,Cephalopods,2013,2013,g/capita/day,0.12,Fc,Calculated data
