country,year,protein_supply,protein_animal,undernourish,food_price_volatility,food_supply_variability,total_population,number_undernourished,dietary_energy_supply,fat_supply,food_over_acquisition,food_production_variability,calories,protein,fat,vitaminA,calcium,iron,zinc,thiamin,riboflavin,niacin,B6,magnesium,polyunsatFA,calories_demersalfish,calories_pelagicfish,calories_othermarinefish,calories_crustaceans,calories_molluscs,calories_seafood,protein_demersalfish,protein_pelagicFish,protein_othermarinefish,protein_crustaceans,protein_molluscs,protein_seafood,fat_demersalfish,fat_pelagicfish,fat_othermarinefish,fat_crustaceans,fat_molluscs,fat_seafood,vitaminA_demersalfish,vitaminA_pelagicfish,vitaminA_othermarinefish,vitaminA_crustaceans,vitaminA_molluscs,vitaminA_seafood,calcium_demersalfish,calcium_pelagicfish,calcium_othermarinefish,calcium_crustaceans,calcium_molluscs,calcium_seafood,iron_demersalfish,iron_pelagicfish,iron_othermarinefish,iron_crustaceans,iron_molluscs,iron_seafood,zinc_demersalfish,zinc_pelagicfish,zinc_othermarinefish,zinc_crustaceans,zinc_molluscs,zinc_seafood,thiamin_demersalfish,thiamin_pelagicfish,thiamin_othermarinefish,thiamin_crustaceans,thiamin_molluscs,thiamin_seafood,riboflavin_demersalfish,riboflavin_pelagicfish,riboflavin_othermarinefish,riboflavin_crustaceans,riboflavin_molluscs,riboflavin_seafood,niacin_demersalfish,niacin_pelagicFish,niacin_othermarinefish,niacin_crustaceans,niacin_molluscs,niacin_seafood,B6_demersalfish,B6_pelagicFish,B6_othermarinefish,B6_crustaceans,B6_molluscs,B6_seafood,polyunsatFA_demersalfish,polyunsatFA_pelagicFish,polyunsatFA_othermarinefish,polyunsatFA_crustaceans,polyunsatFA_molluscs,polyunsatFA_seafood,calories_percentseafood,protein_percentseafood,fat_percentseafood,vitaminA_percentseafood,calcium_percentseafood,iron_percentseafood,zinc_percentseafood,thiamin_percentseafood,riboflavin_percentseafood,niacin_percentseafood,B6_percentseafood,polyunsatFA_percentseafood
Antigua and Barbuda,2011,NA,NA,,NA,NA,0.1,,NA,NA,NA,7.3,2024.0261,75.8889,60.0783,531.9453,553.2766,23.1234,15.0192,2.0929,1.8654,27.8999,1.695,233.3118,17.4025,8.0431,16.1649,20.1841,3.6778,16.9505,65.0204,1.6442,2.9697,4.3899,0.76274,2.8428,12.60934,0.10332,0.45923,0.32518,0.046904,0.35835,1.292984,0.89847,0,6.9681,0,1.021,8.88757,2.336,3.98,3.484,2.5863,18.2177,30.604,0.098831,0.15308,0.2555,0.048219,0.60058,1.15621,0.044923,0.076538,0.069681,0.078904,0.34033,0.610376,0.0071877,0.0076538,0.018581,0.0056986,0.01001,0.0491311,0.0094339,0.016838,0.011613,0.0026301,0.038037,0.078552,0.22462,0.52046,0.51099,0.083288,0.36035,1.699708,0.025786,0.061231,0.069681,0.0065753,0.01001,0.1732833,0.031446,0.11787,0.092907,0.013151,0.16616,0.421534,0.032124289,0.166155261,0.021521648,0.016707677,0.055314105,0.05000173,0.040639714,0.02347513,0.042110003,0.060921652,0.102232035,0.024222612
Aruba,2011,NA,NA,,9.9,NA,0.1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bahamas,2011,NA,NA,,4.2,NA,0.4,,NA,NA,NA,5.1,2450.8285,63.1661,95.7999,476.1618,321.3883,13.7981,7.8604,1.7628,1.4151,23.0604,1.8303,235.8513,16.4049,3.242,24.4008,2.2866,5.6729,1.7721,37.3744,0.65956,3.4056,0.43923,1.2197,0.2485,5.97259,0.048269,0.86017,0.045971,0.065508,0.019781,1.039699,0.64839,5.6174,0.66694,0.47274,0.53574,7.94121,0.64839,3.862,0.47638,3.1066,0.63877,8.73214,0.012247,0.17906,0.010957,0.039845,0.081392,0.323501,0.015129,0.11586,0.011433,0.23907,0.032969,0.414461,0.0020172,0.017555,0.0018103,0.0031741,0.00053574,0.02509234,0.0023414,0.028087,0.0022628,0.002904,0.0020605,0.0376557,0.079248,1.0708,0.069076,0.16884,0.021636,1.4096,0.0093657,0.070218,0.0071458,0.01013,0.0010303,0.0978898,0.015201,0.19959,0.011505,0.01999,0.0039563,0.2502423,0.0152497,0.094553724,0.010852819,0.016677545,0.027170062,0.023445329,0.052727724,0.014234366,0.026609922,0.061126433,0.053482926,0.015254119
Barbados,2011,91,52,<5.0,8.7,67,0.3,ns,3052,99,23.8,5.4,2939.5759,75.932,106.2332,391.1581,332.1154,17.7701,9.0119,2.2004,1.6624,27.0627,1.8606,311.7143,27.462,3.3919,49.9699,11.7115,1.0701,1.0405,67.1839,0.69006,6.9742,2.2496,0.23008,0.14591,10.28985,0.050501,1.7615,0.23545,0.012358,0.011615,2.071424,0.67838,11.5039,3.4158,0.089178,0.31456,16.001818,0.67838,7.9089,2.4399,0.58603,0.37506,11.98827,0.012814,0.36669,0.056117,0.0075164,0.04779,0.4909274,0.015829,0.23727,0.058557,0.045099,0.019358,0.376113,0.0021105,0.03595,0.0092716,0.00059877,0.00031456,0.04824543,0.0024497,0.057519,0.011589,0.00054781,0.0012099,0.07331541,0.082913,2.1929,0.35378,0.031849,0.012704,2.674146,0.0097988,0.1438,0.036598,0.001911,0.00060493,0.19271273,0.015904,0.40875,0.058923,0.003771,0.0023229,0.4896709,0.022854964,0.135514013,0.019498838,0.040908824,0.0360967,0.027626597,0.04173515,0.021925754,0.044102147,0.098812979,0.103575583,0.017830854
Cayman Islands,2011,NA,NA,,NA,NA,0.1,,NA,NA,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,2011,83,30,<5.0,NA,91,11.3,ns,3223,64,35.8,11.5,3039.603,82.5926,53.8979,1041.2889,715.7912,38.3092,14.1496,2.1586,1.5853,22.2623,2.3434,414.8197,17.2826,0.61511,1.4851,1.2814,0.10918,0.40015,3.89094,0.12574,0.27282,0.27868,0.022644,0.06711,0.766994,0.0079019,0.042189,0.020643,0.0013925,0.0084596,0.080586,0.068712,0,0.44236,0,0.024103,0.535175,0.17865,0.36564,0.22118,0.076781,0.43007,1.272321,0.0075584,0.014063,0.01622,0.0014315,0.014178,0.0534509,0.0034356,0.0070315,0.0044236,0.0023425,0.0080342,0.0252674,0.0005497,0.00070315,0.0011796,0.00016918,0.0002363,0.00283793,0.00072148,0.0015469,0.00073726,7.81E-05,0.00089795,0.003981672,0.017178,0.047814,0.032439,0.0024726,0.0085068,0.1084104,0.001972,0.0056252,0.0044236,0.00019521,0.0002363,0.01245231,0.0024049,0.010829,0.0058981,0.00039041,0.0039226,0.02344501,0.001280082,0.009286474,0.00149516,0.000513954,0.001777503,0.00139525,0.001785732,0.001314709,0.002511621,0.004869686,0.005313779,0.001356567
Dominica,2011,88,49,,NA,74,0.1,ns,NA,82,NA,14.3,2530.9062,75.6218,64.7708,755.9732,817.2589,31.1047,9.9362,2.7137,2.0203,27.9371,2.4005,392.3055,10.1886,3.8584,28.7964,4.5997,0.36203,0.080031,37.696561,0.78876,5.2902,1.0004,0.075082,0.013422,7.167864,0.049567,0.81808,0.074104,0.0046171,0.0016919,0.94806,0.43101,0,1.5879,0,0.0048205,2.0237305,1.1206,7.09,0.79397,0.25459,0.086014,9.345174,0.047412,0.27269,0.058225,0.0047466,0.0028356,0.3859092,0.021551,0.13635,0.015879,0.0077671,0.0016068,0.1831539,0.0034481,0.013635,0.0042345,0.00056096,4.73E-05,0.02192582,0.0045256,0.029996,0.0026466,0.0002589,0.00017959,0.03760669,0.10775,0.92716,0.11645,0.0081986,0.0017014,1.16126,0.01237,0.10908,0.015879,0.00064726,4.73E-05,0.13802352,0.015085,0.20997,0.021173,0.0012945,0.00078452,0.24830702,0.014894492,0.094785683,0.014637151,0.002676987,0.011434778,0.012406781,0.018432992,0.008079677,0.018614409,0.041566949,0.057497821,0.024371064
Dominican Republic,2011,58,28,18.1,8.3,50,10,1.8,2496,88,10.2,11.9,2493.199,60.6523,90.336,2468.8125,462.2288,23.1526,10.2499,1.8132,1.4711,21.3745,1.8904,295.1208,22.846,3.0756,5.4281,0.49283,0.35054,0.48018,9.82725,0.62872,0.99721,0.10719,0.072699,0.080532,1.886351,0.03951,0.15421,0.0079397,0.0044705,0.010152,0.2162822,0.34356,0,0.17014,0,0.028923,0.542623,0.89326,1.3365,0.085068,0.24651,0.51608,3.077418,0.037792,0.051403,0.0062384,0.0045959,0.017014,0.1170433,0.017178,0.025701,0.0017014,0.0075205,0.0096411,0.061742,0.0027485,0.0025701,0.0004537,0.00054315,0.00028356,0.00659901,0.0036074,0.0056543,0.00028356,0.00025068,0.0010775,0.01087344,0.08589,0.17477,0.012477,0.0079384,0.010208,0.2912834,0.0098602,0.020561,0.0017014,0.00062671,0.00028356,0.03303287,0.012025,0.03958,0.0022685,0.0012534,0.0047071,0.059834,0.003941623,0.031101063,0.002394197,0.000219791,0.006657781,0.005055298,0.006023669,0.003639428,0.007391367,0.013627612,0.017474011,0.002619014
Grenada,2011,NA,NA,,NA,NA,0.1,,NA,NA,NA,5.5,2408.8593,64.2921,90.707,368.4729,278.2815,15.6457,7.4202,1.8181,1.4326,22.1559,1.5639,283.4006,15.9777,9.5104,42.2632,3.678,0.22438,0.016258,55.692238,1.9348,5.8986,0.70648,0.048242,0.0022798,8.5904018,0.1416,1.4899,0.073943,0.0025911,0.00018148,1.70821558,1.9021,9.7297,1.0727,0.018699,0.0049151,12.7281141,1.9021,6.6891,0.76625,0.12288,0.0058603,9.4861903,0.035928,0.31013,0.017624,0.001576,0.00074671,0.36600471,0.044382,0.20067,0.01839,0.0094562,0.00030247,0.27320067,0.0059176,0.030405,0.0029117,0.00012555,4.92E-06,0.039364765,0.0068686,0.048648,0.0036397,0.00011486,1.89E-05,0.059290064,0.23248,1.8547,0.11111,0.0066781,0.00019849,2.20516659,0.027475,0.12162,0.011494,0.00040068,9.45E-06,0.160999132,0.044593,0.34571,0.018505,0.00079068,3.63E-05,0.409634976,0.023119755,0.1336152,0.018832235,0.034542877,0.034088469,0.02339331,0.036818505,0.021651595,0.041386335,0.099529542,0.102947204,0.025637919
Guadeloupe,2011,NA,NA,,NA,NA,0.5,,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
