"","i_name_govt","name","alpha_3","country_code","country_nm","y_2016","y_2017","y_2018"
"1","Anguilla","Anguilla","AIA",660,"Anguilla",15000,15000,15000
"2","Antigua and Barbuda","Antigua and Barbuda","ATG",27,"Antigua and Barbuda",96000,97000,98000
"3","Aruba","Aruba","ABW",533,"Aruba",106000,106000,107000
"4","Bahamas","Bahamas","BHS",44,"Bahamas",386000,389000,393000
"5","Barbados","Barbados","BRB",52,"Barbados",287000,287000,287000
"6","Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba","BES",535,"Bonaire, Sint Eustatius and Saba",26000,26000,26000
"7","Bonaire, Sint Eustatius and Saba","Bonaire","BES",535,"Bonaire, Sint Eustatius and Saba",26000,26000,26000
"8","Bonaire, Sint Eustatius and Saba","Sint Eustatius","BES",535,"Bonaire, Sint Eustatius and Saba",26000,26000,26000
"9","Bonaire, Sint Eustatius and Saba","Saba","BES",535,"Bonaire, Sint Eustatius and Saba",26000,26000,26000
"10","Cayman Islands","Cayman Islands","CYM",136,"Cayman Islands",64000,65000,66000
"11","Cuba","Cuba","CUB",192,"Cuba",11338000,11333000,11327000
"12","Curaçao","Curaçao","CUW",531,"Cura�ao",163000,163000,164000
"13","Dominica","Dominica","DMA",212,"Dominica",72000,72000,72000
"14","Dominican Republic","Dominican Republic","DOM",214,"Dominican Republic",10627000,10739000,10848000
"15","Grenada","Grenada","GRD",308,"Grenada",111000,112000,113000
"16","Guadeloupe","Guadeloupe","GLP",312,"Guadeloupe",4e+05,4e+05,4e+05
"17","Haiti","Haiti","HTI",332,"Haiti",11123000,11263000,11403000
"18","Jamaica","Jamaica","JAM",388,"Jamaica",2935000,2948000,2961000
"19","Martinique","Martinique","MTQ",474,"Martinique",376000,376000,375000
"20","Montserrat","Montserrat","MSR",500,"Montserrat",5000,5000,5000
"21","Puerto Rico","Puerto Rico","PRI",630,"Puerto Rico",3040000,2933000,2861000
"22","Saint Barthélemy","Saint Barthélemy","BLM",652,"Saint Barth�lemy",10000,10000,10000
"23","Saint Kitts and Nevis","Saint Kitts and Nevis","KNA",659,"Saint Kitts and Nevis",52000,53000,53000
"24","Saint Kitts and Nevis","Saint Kitts","KNA",659,"Saint Kitts and Nevis",52000,53000,53000
"25","Saint Kitts and Nevis","Nevis","KNA",659,"Saint Kitts and Nevis",52000,53000,53000
"26","Saint Lucia","Saint Lucia","LCA",662,"Saint Lucia",182000,183000,184000
"27","Saint Martin","Saint Martin","MAF",663,"Saint Martin (French part)",37000,38000,39000
"28","Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","VCT",670,"Saint Vincent and the Grenadines",110000,111000,111000
"29","Sint Maarten","Sint Maarten","SXM",534,"Sint Maarten (Dutch part)",42000,42000,43000
"30","Trinidad and Tobago","Trinidad and Tobago","TTO",780,"Trinidad and Tobago",1390000,1395000,1399000
"31","Trinidad and Tobago","Trinidad","TTO",780,"Trinidad and Tobago",1390000,1395000,1399000
"32","Trinidad and Tobago","Tobago","TTO",780,"Trinidad and Tobago",1390000,1395000,1399000
"33","Turks and Caicos Islands","Turks and Caicos Islands","TCA",796,"Turks and Caicos Islands",38000,38000,39000
"34","Virgin Islands, British","Virgin Islands, British","VGB",92,"British Virgin Islands",30000,30000,30000
"35","Virgin Islands, U.S.","Virgin Islands, U.S.","VIR",850,"United States Virgin Islands",105000,105000,104000
