name,alpha_3,poverty_rate,year,source,
Anguilla,AIA,23.3,2002,cia,
Antigua and Barbuda,ATG,18.4,2005-2006,ECLAC,
Aruba,ABW,,,,
Bahamas,BHS,9.3,2010,cia,
Barbados,BRB,19.3,2014,CALC,
Bermuda,BMU,11,2008,cia,
Bonaire,BES,,,,
Sint Eustatius,BES,,,,
Saba,BES,,,,
Cayman Islands,CYM,,,,
Cuba,CUB,,,,
Curaçao,CUW,,,,
Dominica,DMA,29,2009,cia,
Dominican Republic,DOM,30.5,2016,cia,
Grenada,GRD,38,2008,cia,
Guadeloupe,GLP,,,,
Haiti,HTI,58.5,2012,cia,
Jamaica,JAM,17.1,2016,cia,
Martinique,MTQ,,,,
Montserrat,MSR,,,,
Puerto Rico,PRI,,,,
Saint Barthélemy,BLM,,,,
Saint Kitts and Nevis,KNA,21.8,2007,ECLAC,
Saint Lucia,LCA,28.8,2005-2006,,
Saint Martin,MAF,,,,
Saint Vincent and the Grenadines,VCT,30.2,2007-2008,,
Sint Maarten,SXM,,,,
Trinidad and Tobago,TTO,20,2014,cia,
Turks and Caicos Islands,TCA,,,,
"Virgin Islands, British",VGB,28.9,2002,cia,
"Virgin Islands, U.S.",VIR,,,,
