country,Total_GDP,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
Anguilla,Local currency in bn (Nominal prices),0.173461,0.192556,0.22681,0.241111,0.23658,0.224011,0.237379,0.215748,0.235601,0.250221,0.307657,0.369713,0.409259,0.393223,0.350158,0.370066,0.428784,0.431024,0.462051,0.516738,0.525028,0.529651,0.551031,0.396551,0.484688,0.538903,0.597934,0.656332,0.71507,0.774059,0.835717,0.899644,0.969539,1.03919,1.11069
Anguilla,Local currency in bn (Real prices),0.295778,0.318733,0.371075,0.385031,0.368685,0.347276,0.364808,0.313835,0.335775,0.343474,0.419513,0.48873,0.490602,0.465776,0.424456,0.451923,0.49939,0.490744,0.519383,0.552466,0.546095,0.545014,0.559737,0.396551,0.476164,0.517878,0.560583,0.60032,0.638085,0.673869,0.709795,0.745445,0.783758,0.819563,0.854584
Anguilla,Percentage growth,-14.0777,7.7608,16.4217,3.76108,-4.24532,-5.80701,5.04854,-13.9725,6.99075,2.29287,22.1384,16.4993,0.382996,-5.06026,-8.87123,6.47118,10.5033,-1.73124,5.83576,6.36972,-1.15318,-0.19809,2.70148,-29.1541,20.0766,8.76033,8.24625,7.08849,6.29082,5.60801,5.33121,5.02266,5.13961,4.56839,4.2731
Anguilla,Percentage of GDP,61.9309,65.1052,68.4776,64.4129,59.4851,55.3264,56.7499,50.7524,51.3964,46.0667,49.7336,48.1703,42.6645,41.1029,45.9066,51.1556,54.3092,56.991,60.6861,61.4705,58.8965,58.12,61.8551,41.5938,48.2652,50.9279,53.807,56.2414,58.3481,60.1461,62.0171,63.8069,65.7585,67.4636,69.0736
Anguilla,US$ in bn (Nominal prices),0.06,0.07,0.08,0.09,0.09,0.08,0.09,0.08,0.09,0.09,0.113947,0.136931,0.151578,0.145638,0.129688,0.137062,0.158809,0.159638,0.17113,0.191384,0.194455,0.196167,0.204085,0.146871,0.179514,0.199594,0.221457,0.243086,0.264841,0.286688,0.309525,0.333201,0.359088,0.384884,0.411368
Anguilla,US$ in bn (Real prices),0.109547,0.118049,0.137435,0.142604,0.13655,0.128621,0.135114,0.116235,0.124361,0.127212,0.155375,0.181011,0.181704,0.17251,0.157206,0.167379,0.184959,0.181757,0.192364,0.204617,0.202258,0.201857,0.20731,0.146871,0.176357,0.191807,0.207623,0.222341,0.236328,0.249581,0.262887,0.276091,0.290281,0.303542,0.316513
Antigua and Barbuda,Local currency in bn (Nominal prices),2.32278,2.58968,2.86032,2.8075,2.78762,2.71659,2.60614,2.67341,2.82933,3.19451,3.054,3.36682,3.67887,4.00036,3.79478,3.38224,3.33884,3.42557,3.25251,3.35745,3.42937,3.50507,3.49246,3.79314,3.9882,4.22853,4.42279,4.6426,4.89587,5.16223,5.43749,5.71426,6.00641,6.31573,6.63722
Antigua and Barbuda,Local currency in bn (Real prices),3.35416,3.63146,3.939,3.78636,3.70386,3.76436,3.47707,3.47421,3.72563,4.15887,3.74475,4.08254,4.3299,4.50836,4.19724,3.68263,3.57872,3.56861,3.44186,3.48846,3.47764,3.49995,3.53786,3.79314,3.89283,4.03067,4.13318,4.25352,4.39762,4.54595,4.69446,4.83667,4.98426,5.13817,5.29385
Antigua and Barbuda,Percentage growth,-15.3164,8.26732,8.46869,-3.87512,-2.17879,1.63336,-7.63182,-0.08,7.23674,11.6286,-9.9575,9.02032,6.05906,4.12147,-6.9008,-12.2608,-2.82161,-0.282433,-3.55173,1.35388,-0.310341,0.641693,1.08305,7.21567,2.6281,3.54102,2.5433,2.91158,3.38774,3.3728,3.26691,3.0294,3.0515,3.08795,3.02974
Antigua and Barbuda,Percentage of GDP,57.8446,60.4962,60.9129,56.2266,54.2798,52.74,52.3955,53.8423,53.9776,54.8017,50.8845,52.2349,51.1198,52.5025,55.0797,52.2762,51.5377,51.2799,50.3256,47.8547,46.8739,46.1661,42.5061,44.0774,44.6585,45.5609,46.2067,46.9042,47.7835,48.6772,49.0415,49.3323,49.6807,50.0883,50.3792
