name_govt,name,alpha_3,country_code,foreign_tourists
Anguilla,Anguilla,AIA,660,70927
Antigua and Barbuda,Antigua and Barbuda,ATG,27,249316
Aruba,Aruba,ABW,533,1072082
Bahamas,Bahamas,BHS,44,1421860
Barbados,Barbados,BRB,52,519598
"Bonaire, Sint Eustatius and Saba",Bonaire,BON,535,"133,000"
"Bonaire, Sint Eustatius and Saba",Sint Eustatius and Saba,ESS,535,35100
Cayman Islands,Cayman Islands,CYM,136,382816
Cuba,Cuba,CUB,192,3001958
Curaçao,Curaçao,CUW,531,450953
Dominica,Dominica,DMA,212,81472
Dominican Republic,Dominican Republic,DOM,214,5141377
Grenada,Grenada,GRD,308,133521
Guadeloupe,Guadeloupe,GLP,312,487000
Haiti,Haiti,HTI,332,465174
Jamaica,Jamaica,JAM,388,2080181
Martinique,Martinique,MTQ,474,489561
Montserrat,Montserrat,MSR,500,8804
Puerto Rico,Puerto Rico,PRI,630,1688472
Saint Barthélemy,Saint Barthélemy,BLM,652,281272
Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,659,104730
Saint Lucia,Saint Lucia,LCA,662,338158
Saint Martin,Saint Martin,MAF,663,201219
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,670,70713
Sint Maarten,Sint Maarten,SXM,534,499920
Trinidad and Tobago,Trinidad and Tobago,TTO,780,412537
Turks and Caicos Islands,Turks and Caicos Islands,TCA,796,368164
"Virgin Islands, British","Virgin Islands, British",VGB,92,386049
"Virgin Islands, U.S.","Virgin Islands, U.S.",VIR,850,730367
Bermuda,Bermuda,BMU,3166,142924
