"","Country","Commodity","Flow","Unit","X","Year","Quantity"," F"
"1","Antigua and Barbuda","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","...",NA
"2","Antigua and Barbuda","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","0",NA
"3","Antigua and Barbuda","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","-",NA
"4","Antigua and Barbuda","Euthynnus other than skipjack prep. or pres. not minced, nei","Imports","Tonnes","","2014","-",NA
"5","Antigua and Barbuda","Skipjack tuna, frozen","Imports","Tonnes","","2014","-",NA
"6","Antigua and Barbuda","Southern bluefin tuna (Thunnus maccoyii), live","Imports","Tonnes","","2014","-",NA
"7","Antigua and Barbuda","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","-",NA
"8","Antigua and Barbuda","Tuna loins, prepared or preserved","Imports","Tonnes","","2014","-",NA
"9","Antigua and Barbuda","Tunas nei, frozen","Exports","Tonnes","","2014","-",NA
"10","Antigua and Barbuda","Tunas nei, frozen","Imports","Tonnes","","2014","-",NA
"11","Antigua and Barbuda","Tunas prepared or preserved, not minced, in oil","Imports","Tonnes","","2014","-",NA
"12","Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","-",NA
"13","Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","174",NA
"14","Antigua and Barbuda","Tunas prepared or preserved, not minced, nei","Reexports","Tonnes","","2014","-",NA
"15","Antigua and Barbuda","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","-",NA
"16","Antigua and Barbuda","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","-",NA
"17","Antigua and Barbuda","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"18","Antigua and Barbuda","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","...",NA
"19","Antigua and Barbuda","Yellowfin tuna, frozen, nei","Imports","Tonnes","","2014","8",NA
"20","Aruba","Albacore (=Longfin tuna), fresh or chilled","Exports","Tonnes","","2014","-",NA
"21","Aruba","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","12",NA
"22","Aruba","Albacore (=Longfin tuna), frozen, nei","Exports","Tonnes","","2014","...",NA
"23","Aruba","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","98",NA
"24","Aruba","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","-",NA
"25","Aruba","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes","","2014","0",NA
"26","Aruba","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes","","2014","...",NA
"27","Aruba","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","...",NA
"28","Aruba","Skipjack tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"29","Aruba","Skipjack tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"30","Aruba","Skipjack tuna, frozen","Imports","Tonnes","","2014","-",NA
"31","Aruba","Tuna loins and fillets, frozen","Imports","Tonnes","","2014","1",NA
"32","Aruba","Tunas nei, frozen","Exports","Tonnes","","2014","0",NA
"33","Aruba","Tunas nei, frozen","Imports","Tonnes","","2014","3",NA
"34","Aruba","Tunas prepared or preserved, not minced, nei","Exports","Tonnes","","2014","0",NA
"35","Aruba","Tunas prepared or preserved, not minced, nei","Imports","Tonnes","","2014","115",NA
"36","Aruba","Tunas, fresh or chilled, nei","Exports","Tonnes","","2014","0",NA
"37","Aruba","Tunas, fresh or chilled, nei","Imports","Tonnes","","2014","23",NA
"38","Aruba","Yellowfin tuna, fresh or chilled","Exports","Tonnes","","2014","-",NA
"39","Aruba","Yellowfin tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
"40","Bahamas","Albacore (=Longfin tuna), fresh or chilled","Imports","Tonnes","","2014","0",NA
"41","Bahamas","Albacore (=Longfin tuna), frozen, nei","Imports","Tonnes","","2014","0",NA
"42","Bahamas","Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen","Imports","Tonnes","","2014","0",NA
"43","Bahamas","Atlantic (Thunnus thynnus), Pacific (T.orientalis) bluefin tuna, live","Imports","Tonnes","","2014","0",NA
"44","Bahamas","Atlantic (Thunnus thynnus)and Pacific (Thunnus orientalis) bluefin tuna, fresh or chilled","Imports","Tonnes","","2014","0",NA
"45","Bahamas","Bigeye tuna, fresh or chilled","Imports","Tonnes","","2014","-",NA
