Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,"Alaska pollock fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Alaska pollock, meat, whether or not minced, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,2 F,...,...,0 0,0 0,0 0,...,0 0,0 0,0 0,...,0 0,...,1,0 0
Antigua and Barbuda,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,0 0,0 0,3,-,0 0,0 0,0 0,-,-,0 0,0 0,0 0
Antigua and Barbuda,"Anchovies, prepared or preserved, not minced",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,12 F,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Anchovies, prepared or preserved, not minced",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,7,5,-,-,-,-,3,4,5,...,3,4,7,5,5,5,5,5
Antigua and Barbuda,"Anchovies, salted or in brine",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-
Antigua and Barbuda,"Argentinian hake fillets, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,42 F,-,10 F,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,0 0,-,-,-
Antigua and Barbuda,"Atlantic and Danube salmons, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1 F,-,-,-,-,-,-,-,-
