Country (Country),Commodity (Commodity),Trade flow (Trade flow),Unit,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Antigua and Barbuda,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,...,2 F,...,...,0 0,0 0,0 0,...,0 0,0 0,0 0,...,0 0,...,1,0 0
Antigua and Barbuda,"Albacore (=Longfin tuna), frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,0 0,0 0,3,-,0 0,0 0,0 0,-,-,0 0,0 0,0 0
Antigua and Barbuda,"Atlantic (Thunnus thynnus) and Pacific (Thunnus orientalis) bluefin tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,0 0,-,-,-
Antigua and Barbuda,"Euthynnus other than skipjack prep. or pres. not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Skipjack tuna, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,22,-,-,-,0 0,-,-,-,-,-,-,-
Antigua and Barbuda,"Southern bluefin tuna (Thunnus maccoyii), live",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,0 0,-,-,-
Antigua and Barbuda,"Tuna loins and fillets, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Tuna loins, prepared or preserved",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Tunas nei, frozen",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Tunas nei, frozen",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,22,...,...,...,...,0 0,9,0 0,2 F,0 0,-,-,-,-,-,-,0 0
Antigua and Barbuda,"Tunas prepared or preserved, not minced, in oil",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,...,...,...,...,...,1 F,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Tunas prepared or preserved, not minced, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-
Antigua and Barbuda,"Tunas prepared or preserved, not minced, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,10 F,...,117 F,19 F,163,166,59 F,28 F,38 F,47 F,190,169,251,85 F,194,149,224,191,177,174,174,150
Antigua and Barbuda,"Tunas prepared or preserved, not minced, nei",Reexports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-
Antigua and Barbuda,"Tunas, fresh or chilled, nei",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4 F,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Tunas, fresh or chilled, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,...,0 0,2 F,0 0,-,-,-,0 0,-,-,-
Antigua and Barbuda,"Yellowfin tuna, fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Antigua and Barbuda,"Yellowfin tuna, fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,0 0,0 0,2 F,0 0,...,0 0,0 0,0 0,...,0 0,0 0
Antigua and Barbuda,"Yellowfin tuna, frozen, nei",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1,2,...,...,...,...,0 0,0 0,1,1 F,1,4,4,7,10,8,8,9
Aruba,"Albacore (=Longfin tuna), fresh or chilled",Exports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0 0,-,-,-,-
Aruba,"Albacore (=Longfin tuna), fresh or chilled",Imports,Tonnes,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,7,26,6,5,5,12,22,13
