Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Antigua and Barbuda,Export,"American/European lobsters (Homarus spp.), nei, frozen",0,-,0,-,6,.,7,.,0,-,0,0,6,.
Antigua and Barbuda,Export,"American/European lobsters (Homarus spp.), not frozen",0,.,13,.,6,.,6,.,0,-,0,-,0,-
Antigua and Barbuda,Export,"Crustaceans nei, frozen",0,0,0,.,1,.,5,.,0,-,0,-,2,.
Antigua and Barbuda,Export,"Fish dried, whether or not salted, nei",0,-,0,-,0,-,0,-,11,.,0,-,0,-
Antigua and Barbuda,Export,"Fish, fresh or chilled, nei",0,0,1,.,0,-,0,-,0,0,0,-,0,-
Antigua and Barbuda,Export,"Lobsters nei, fresh or chilled",2,.,0,-,0,-,0,-,1,F,4,F,1,.
Antigua and Barbuda,Export,"Marine fish, frozen, nei",56,.,101,.,101,.,62,.,44,.,40,F,40,F
Antigua and Barbuda,Export,"Miscellaneous marine fish, salted or in brine, nei",0,-,0,-,0,-,0,-,1,.,0,-,2,.
Antigua and Barbuda,Export,"Miscellaneous molluscs, other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,.,1,.,0,0
Antigua and Barbuda,Export,"Molluscs and other aq. invertebrates, prep. or pres., nei",1,.,0,-,0,-,0,-,0,-,0,-,0,-
Antigua and Barbuda,Export,"Sea-cucumber, live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,1,F,0,-
Antigua and Barbuda,Import,"Albacore (=Longfin tuna), fresh or chilled",0,0,0,0,0,.,0,0,0,.,1,.,0,0
Antigua and Barbuda,Import,"American/European lobsters (Homarus spp.), nei, frozen",0,0,1,.,0,0,0,0,0,0,1,.,4,.
Antigua and Barbuda,Import,"Anchovies, prepared or preserved, not minced",4,.,7,.,5,.,5,.,5,.,5,.,5,.
Antigua and Barbuda,Import,"Atlantic salmon and Danube salmon, frozen",0,0,0,0,0,0,0,0,0,0,1,.,0,0
Antigua and Barbuda,Import,Caviar and caviar substitutes,2,.,1,.,1,.,1,.,2,.,1,.,1,.
Antigua and Barbuda,Import,"Cods nei, dried,  whether or not salted",20,.,18,.,22,.,17,.,24,.,49,.,25,.
Antigua and Barbuda,Import,"Cods nei, frozen",0,0,0,0,1,.,1,.,0,0,0,-,1,.
Antigua and Barbuda,Import,"Crab meat nei, prepared or preserved",8,.,5,.,4,.,4,.,4,.,3,.,5,.
Antigua and Barbuda,Import,"Crabs nei, frozen",4,.,3,.,2,.,1,.,4,.,4,.,3,.
Antigua and Barbuda,Import,"Crustaceans nei, frozen",7,.,4,.,3,.,3,.,2,.,3,.,5,.
Antigua and Barbuda,Import,"Crustaceans nei, prepared or preserved",2,.,2,.,0,-,1,.,1,.,1,.,2,.
Antigua and Barbuda,Import,"Cuttlefish and squid, other than live, fresh or chilled",25,.,25,.,22,.,32,.,22,.,15,.,3,.
Antigua and Barbuda,Import,"Cuttlefishes and squids, live, fresh or chilled, nei",1,.,3,.,4,.,1,.,1,.,2,.,1,.
Antigua and Barbuda,Import,Eels and elvers live,0,0,0,0,0,0,0,0,1,.,0,0,0,0
Antigua and Barbuda,Import,"Fish dried, whether or not salted, nei",335,.,329,.,360,.,280,.,252,.,327,.,318,.
Antigua and Barbuda,Import,"Fish fillets, dried, salted or in brine, nei",2,.,2,.,7,.,16,.,2,.,6,.,10,.
Antigua and Barbuda,Import,"Fish fillets, fresh or chilled, nei",6,.,3,.,3,.,4,.,2,.,1,.,1,.
Antigua and Barbuda,Import,"Fish fillets, frozen, nei",78,.,128,.,118,.,168,.,180,.,156,.,187,.
Antigua and Barbuda,Import,"Fish live, nei",0,0,0,0,1,.,0,0,0,0,0,0,0,0
Antigua and Barbuda,Import,"Fish liver oils, nei",0,0,0,-,0,0,1,.,3,.,3,.,4,.
Antigua and Barbuda,Import,"Fish meat, whether or not minced, frozen, nei",164,.,115,.,96,.,50,.,48,.,37,.,15,.
Antigua and Barbuda,Import,"Fish minced nei, prepared or preserved",9,.,8,.,7,.,7,.,8,.,7,.,8,.
Antigua and Barbuda,Import,"Fish nei, prepared or preserved, not minced",57,.,19,.,11,.,12,.,10,.,10,.,15,.
Antigua and Barbuda,Import,"Fish nei, salted or in brine",45,.,90,.,100,.,93,.,147,.,136,.,136,.
Antigua and Barbuda,Import,"Fish nei, smoked",2,.,2,.,6,.,24,.,27,.,17,.,31,.
Antigua and Barbuda,Import,"Fish, fresh or chilled, nei",73,.,91,.,113,.,132,.,88,.,158,.,50,.
Antigua and Barbuda,Import,"Fish, frozen, nei",112,.,88,.,48,.,81,.,103,.,75,.,77,.
Antigua and Barbuda,Import,"Fishmeals, nei",0,-,0,-,0,-,0,0,1,.,4,.,6,.
Antigua and Barbuda,Import,"Flatfish nei, frozen",0,0,0,0,0,0,1,.,2,.,2,.,1,.
Antigua and Barbuda,Import,"Herrings nei, frozen",0,0,1,.,0,0,0,.,0,.,55,.,0,-
Antigua and Barbuda,Import,"Herrings nei, smoked",41,.,51,.,47,.,47,.,56,.,64,.,52,.
Antigua and Barbuda,Import,"Herrings prepared or preserved, not minced, nei",1,.,1,.,1,.,1,.,2,.,0,0,0,0
Antigua and Barbuda,Import,"Lobster tails or meat, prep. or pres.",2,.,0,0,0,-,1,.,12,.,8,.,7,.
Antigua and Barbuda,Import,"Lobsters nei, fresh or chilled",0,0,0,-,0,0,0,-,1,.,0,-,0,-
Antigua and Barbuda,Import,"Mackerel prepared or preserved, not minced, nei",33,.,92,.,96,.,147,.,48,.,73,.,86,.
Antigua and Barbuda,Import,"Mackerels nei, frozen",1,.,2,.,0,0,0,0,0,-,0,0,0,0
Antigua and Barbuda,Import,Miscellaneous corals and shells,0,0,0,0,0,0,0,0,1,.,1,.,0,0
Antigua and Barbuda,Import,"Miscellaneous crustaceans, not frozen, nei",2,.,1,.,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,Import,"Miscellaneous molluscs, other than live, fresh or chilled, nei",22,.,18,.,20,.,15,.,19,.,20,.,18,.
Antigua and Barbuda,Import,"Molluscs and other aq. invertebrates, prep. or pres., nei",6,.,6,.,0,-,7,.,8,.,11,.,8,.
Antigua and Barbuda,Import,"Mussels nei, other than live, fresh or chilled",5,.,7,.,4,.,4,.,5,.,5,.,3,.
Antigua and Barbuda,Import,"Mussels, live, fresh or chilled, nei",3,.,4,.,4,.,4,.,6,.,5,.,2,.
Antigua and Barbuda,Import,"Octopus, live, fresh or chilled",0,0,0,0,1,.,0,0,1,.,0,0,0,0
Antigua and Barbuda,Import,"Octopus, other than live, fresh or chilled",1,.,1,.,1,.,1,.,1,.,1,.,1,.
Antigua and Barbuda,Import,Ornamental fish nei,1,.,0,-,0,0,0,-,1,.,0,-,0,0
Antigua and Barbuda,Import,Ornamental saltwater fish,0,-,0,0,0,-,0,0,0,-,1,.,0,-
Antigua and Barbuda,Import,Other seaweeds and aquatic plants and products thereof,3,.,4,.,0,-,3,.,3,.,3,.,2,.
Antigua and Barbuda,Import,"Oysters, live fresh or chilled, nei",1,.,0,0,0,0,0,0,1,.,1,.,1,.
Antigua and Barbuda,Import,"Salmon nei, not minced, prepared or preserved",15,.,14,.,11,.,15,.,17,.,17,.,16,.
Antigua and Barbuda,Import,"Salmonoids, frozen",0,0,2,.,0,0,3,.,2,.,4,.,7,.
Antigua and Barbuda,Import,"Salmons nei, frozen",0,-,5,.,8,.,0,-,0,-,0,-,0,-
Antigua and Barbuda,Import,"Salmons, fresh or chilled, nei",2,.,1,.,4,.,3,.,4,.,4,.,9,.
Antigua and Barbuda,Import,"Salmons, smoked",14,.,13,.,27,.,13,.,13,.,16,.,14,.
Antigua and Barbuda,Import,"Sardines, sardinellas, brisling or sprats, frozen",1,.,0,0,0,-,9,.,5,.,5,.,0,-
