Land Area,Trade flow,Commodity,2010,S_2010,2011,S_2011,2012,S_2012,2013,S_2013,2014,S_2014,2015,S_2015,2016,S_2016
Antigua and Barbuda,Export,"American/European lobsters (Homarus spp.), nei, frozen",0,-,0,-,101,.,89,.,0,-,0,0,12,.
Antigua and Barbuda,Export,"American/European lobsters (Homarus spp.), not frozen",0,.,135,.,102,.,50,.,0,-,0,-,0,-
Antigua and Barbuda,Export,"Cods nei, salted or in brine",0,-,0,-,0,-,0,-,1,0,0,-,0,-
Antigua and Barbuda,Export,"Crustaceans nei, frozen",1,0,0,.,3,.,68,.,0,-,0,-,2,.
Antigua and Barbuda,Export,"Cuttlefish and squid, other than live, fresh or chilled",0,.,0,.,0,.,0,.,1,0,0,-,0,-
Antigua and Barbuda,Export,"Fish dried, whether or not salted, nei",0,-,0,-,0,-,0,-,22,.,0,-,0,-
Antigua and Barbuda,Export,"Fish liver oils, nei",0,.,0,.,0,.,0,.,0,.,0,.,3,0
Antigua and Barbuda,Export,"Fish, fresh or chilled, nei",0,0,11,.,0,-,0,-,0,0,0,-,0,-
Antigua and Barbuda,Export,"Flatfish nei, frozen",1,0,0,-,0,-,0,-,0,-,0,-,0,-
Antigua and Barbuda,Export,"Lobsters nei, fresh or chilled",29,.,0,-,0,-,0,-,8,F,52,F,1,.
Antigua and Barbuda,Export,"Marine fish, frozen, nei",369,.,744,.,801,.,416,.,285,.,280,F,250,F
Antigua and Barbuda,Export,"Miscellaneous marine fish, salted or in brine, nei",0,-,0,-,0,-,0,-,1,.,0,-,1,.
Antigua and Barbuda,Export,"Miscellaneous molluscs, other than live, fresh or chilled, nei",0,.,0,.,0,.,0,.,0,.,6,.,1,0
Antigua and Barbuda,Export,"Sea-cucumber, live, fresh or chilled",0,.,0,.,0,.,0,.,0,.,16,F,0,-
Antigua and Barbuda,Export,"Shrimps and prawns, frozen, nei",0,-,0,-,0,-,0,-,1,0,0,-,0,-
Antigua and Barbuda,Import,Agar agar nei,1,0,0,0,0,0,0,0,0,0,1,0,0,0
